GEO_ID,NAME,S1501_C01_001E,S1501_C01_003E,Percent
36001,"Albany County, New York",45323,13938,30.75259802
36003,"Allegany County, New York",7107,1692,23.80751372
36005,"Bronx County, New York",142886,40521,28.35897149
36007,"Broome County, New York",28095,7822,27.84125289
36009,"Cattaraugus County, New York",6977,2808,40.24652429
36011,"Cayuga County, New York",5875,2037,34.67234043
36013,"Chautauqua County, New York",12169,3842,31.57202728
36015,"Chemung County, New York",6755,2588,38.31236121
36017,"Chenango County, New York",3482,1486,42.67662263
36019,"Clinton County, New York",10444,3430,32.84182306
36021,"Columbia County, New York",3999,1690,42.26056514
36023,"Cortland County, New York",8462,2116,25.00590877
36025,"Delaware County, New York",4218,2174,51.5410147
36027,"Dutchess County, New York",31335,8913,28.44423169
36029,"Erie County, New York",85922,24441,28.44556691
36031,"Essex County, New York",2522,745,29.54004758
36033,"Franklin County, New York",4406,1508,34.22605538
36035,"Fulton County, New York",3852,1675,43.48390447
36037,"Genesee County, New York",4553,1606,35.27344608
36039,"Greene County, New York",4010,1593,39.72568579
36041,"Hamilton County, New York",374,92,24.59893048
36043,"Herkimer County, New York",5018,1591,31.70585891
36045,"Jefferson County, New York",14294,6938,48.53784805
36047,"Kings County, New York",213570,58840,27.55068596
36049,"Lewis County, New York",1925,738,38.33766234
36051,"Livingston County, New York",9131,2555,27.98160114
36053,"Madison County, New York",8886,2383,26.81746568
36055,"Monroe County, New York",73842,21277,28.81422497
36057,"Montgomery County, New York",3821,1280,33.49908401
36059,"Nassau County, New York",119227,30278,25.39525443
36061,"New York County, New York",146549,29372,20.04244314
36063,"Niagara County, New York",17249,5741,33.28308887
36065,"Oneida County, New York",21755,5898,27.11100896
36067,"Onondaga County, New York",47869,11687,24.41454804
36069,"Ontario County, New York",10005,3411,34.09295352
36071,"Orange County, New York",41169,13189,32.03624086
36073,"Orleans County, New York",3069,1274,41.51189312
36075,"Oswego County, New York",12753,3622,28.40116051
36077,"Otsego County, New York",9844,3861,39.22186103
36079,"Putnam County, New York",8026,1946,24.24619985
36081,"Queens County, New York",178495,45219,25.33348273
36083,"Rensselaer County, New York",15937,5206,32.66612286
36085,"Richmond County, New York",40471,10793,26.66847866
36087,"Rockland County, New York",30459,8959,29.41330969
36089,"St. Lawrence County, New York",14810,4481,30.25658339
36091,"Saratoga County, New York",18822,4656,24.73700988
36093,"Schenectady County, New York",13950,4859,34.83154122
36095,"Schoharie County, New York",3101,1039,33.50532086
36097,"Schuyler County, New York",1189,583,49.03280067
36099,"Seneca County, New York",2581,722,27.97365362
36101,"Steuben County, New York",6938,2717,39.16114154
36103,"Suffolk County, New York",135922,39237,28.86729153
36105,"Sullivan County, New York",6201,2204,35.54265441
36107,"Tioga County, New York",3686,1273,34.53608247
36109,"Tompkins County, New York",28299,3889,13.74253507
36111,"Ulster County, New York",16282,4111,25.24874094
36113,"Warren County, New York",4466,1135,25.41424093
36115,"Washington County, New York",4805,1911,39.7710718
36117,"Wayne County, New York",6710,2726,40.62593145
36119,"Westchester County, New York",86844,22190,25.55156372
36121,"Wyoming County, New York",2918,894,30.63742289
36123,"Yates County, New York",2615,618,23.63288719
